"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,28.7,28.7,71.3,"Aeugst am Albis ZH","Aeugst am Albis hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 71,3 Prozent Nein abgelehnt."
2,32.9,32.9,67.1,"Affoltern am Albis ZH","Affoltern am Albis hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 67,1 Prozent Nein abgelehnt."
3,30,30,70,"Bonstetten ZH","Bonstetten hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 70 Prozent Nein abgelehnt."
4,32.8,32.8,67.2,"Hausen am Albis ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Hausen am Albis. 67,2 Prozent haben sie verworfen."
5,35.6,35.6,64.4,"Hedingen ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Hedingen: 64,4 Prozent haben das Begehren abgelehnt."
6,24.9,24.9,75.1,"Kappel am Albis ZH","Kappel am Albis hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 75,1 Prozent Nein abgelehnt."
7,31.5,31.5,68.5,"Knonau ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Knonau: 68,5 Prozent haben das Begehren abgelehnt."
8,30.6,30.6,69.4,"Maschwanden ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Maschwanden. 69,4 Prozent haben sie verworfen."
9,30.6,30.6,69.4,"Mettmenstetten ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Mettmenstetten. 69,4 Prozent haben sie verworfen."
10,31.8,31.8,68.2,"Obfelden ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Obfelden. 68,2 Prozent haben sie verworfen."
11,29.7,29.7,70.3,"Ottenbach ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Ottenbach: 70,3 Prozent haben das Begehren abgelehnt."
12,42.2,42.2,57.8,"Rifferswil ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Rifferswil: 57,8 Prozent haben das Begehren abgelehnt."
13,28.1,28.1,71.9,"Stallikon ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Stallikon. 71,9 Prozent haben sie verworfen."
14,26.7,26.7,73.3,"Wettswil am Albis ZH","Wettswil am Albis hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 73,3 Prozent Nein abgelehnt."
22,21.6,21.6,78.4,"Benken ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Benken ZH: 78,4 Prozent haben das Begehren abgelehnt."
23,20.8,20.8,79.2,"Berg am Irchel ZH","Berg am Irchel hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 79,2 Prozent Nein abgelehnt."
24,21.8,21.8,78.2,"Buch am Irchel ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Buch am Irchel. 78,2 Prozent haben sie verworfen."
25,36.9,36.9,63.1,"Dachsen ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Dachsen. 63,1 Prozent haben sie verworfen."
26,20.8,20.8,79.2,"Dorf ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Dorf. 79,2 Prozent haben sie verworfen."
27,34.7,34.7,65.3,"Feuerthalen ZH","Feuerthalen hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 65,3 Prozent Nein abgelehnt."
28,22.2,22.2,77.8,"Flaach ZH","Flaach hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 77,8 Prozent Nein abgelehnt."
29,33.4,33.4,66.6,"Flurlingen ZH","Flurlingen hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 66,6 Prozent Nein abgelehnt."
31,28.4,28.4,71.6,"Henggart ZH","Henggart hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 71,6 Prozent Nein abgelehnt."
33,26.8,26.8,73.2,"Kleinandelfingen ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Kleinandelfingen: 73,2 Prozent haben das Begehren abgelehnt."
34,30,30,70,"Laufen-Uhwiesen ZH","Laufen-Uhwiesen hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 70 Prozent Nein abgelehnt."
35,24.9,24.9,75.1,"Marthalen ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Marthalen: 75,1 Prozent haben das Begehren abgelehnt."
37,29.1,29.1,70.9,"Ossingen ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Ossingen: 70,9 Prozent haben das Begehren abgelehnt."
38,34.1,34.1,65.9,"Rheinau ZH","Rheinau hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 65,9 Prozent Nein abgelehnt."
39,26.5,26.5,73.5,"Thalheim an der Thur ZH","Thalheim an der Thur hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 73,5 Prozent Nein abgelehnt."
40,27.9,27.9,72.1,"Trüllikon ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Trüllikon. 72,1 Prozent haben sie verworfen."
41,25.4,25.4,74.6,"Truttikon ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Truttikon. 74,6 Prozent haben sie verworfen."
43,20.8,20.8,79.2,"Volken ZH","Volken hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 79,2 Prozent Nein abgelehnt."
51,31.6,31.6,68.4,"Bachenbülach ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Bachenbülach. 68,4 Prozent haben sie verworfen."
52,50,0,0,"Bassersdorf ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
53,50,0,0,"Bülach ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
54,31.4,31.4,68.6,"Dietlikon ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Dietlikon. 68,6 Prozent haben sie verworfen."
55,30.4,30.4,69.6,"Eglisau ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Eglisau: 69,6 Prozent haben das Begehren abgelehnt."
56,50,0,0,"Embrach ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
57,23.7,23.7,76.3,"Freienstein-Teufen ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Freienstein-Teufen: 76,3 Prozent haben das Begehren abgelehnt."
58,27.8,27.8,72.2,"Glattfelden ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Glattfelden. 72,2 Prozent haben sie verworfen."
59,24.3,24.3,75.7,"Hochfelden ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Hochfelden. 75,7 Prozent haben sie verworfen."
60,28.3,28.3,71.7,"Höri ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Höri. 71,7 Prozent haben sie verworfen."
61,28.6,28.6,71.4,"Hüntwangen ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Hüntwangen. 71,4 Prozent haben sie verworfen."
62,32,32,68,"Kloten ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Kloten: 68 Prozent haben das Begehren abgelehnt."
63,23.8,23.8,76.2,"Lufingen ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Lufingen. 76,2 Prozent haben sie verworfen."
64,22.9,22.9,77.1,"Nürensdorf ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Nürensdorf. 77,1 Prozent haben sie verworfen."
65,23.3,23.3,76.7,"Oberembrach ZH","Nein zur Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Oberembrach: 76,7 Prozent haben das Begehren abgelehnt."
66,33.7,33.7,66.3,"Opfikon ZH","Opfikon hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 66,3 Prozent Nein abgelehnt."
67,31.3,31.3,68.7,"Rafz ZH","Keine Mehrheit für die Initiative für öffentliche Uferwege mit ökologischer Aufwertung in Rafz. 68,7 Prozent haben sie verworfen."
68,29.3,29.3,70.7,"Rorbas ZH","Rorbas hat die Initiative für öffentliche Uferwege mit ökologischer Aufwertung mit 70,7 Prozent Nein abgelehnt."
