"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,34.6,34.6,65.4,"Herisau AR","Herisau hat die Renteninitiative mit 65,4 Prozent abgelehnt. Herisau hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3002,77.1,77.1,22.9,"Hundwil AR","77,1 Prozent der Stimmbürgerinnen und Stimmbürger von Hundwil haben die Renteninitiative angenommen. Hundwil hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Appenzell Ausserrhoden."
3003,68.9,68.9,31.1,"Schönengrund AR","Die Gemeinde Schönengrund hat die Renteninitiative mit 68,9 Prozent angenommen. Schönengrund hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3004,40.7,40.7,59.3,"Schwellbrunn AR","In Schwellbrunn hat die Renteninitiative keine Mehrheit gefunden. Auf 59,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Schwellbrunn hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3005,69.2,69.2,30.8,"Stein AR","Die Gemeinde Stein AR hat die Renteninitiative mit 69,2 Prozent angenommen. Stein AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3006,3,3,97,"Urnäsch AR","In Urnäsch hat die Renteninitiative keine Mehrheit gefunden. Auf 97 Prozent der abgegebenen Stimmzettel stand ein Nein. Urnäsch hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Appenzell Ausserrhoden."
3007,76.9,76.9,23.1,"Waldstatt AR","76,9 Prozent der Abstimmenden in der Gemeinde Waldstatt haben Ja gesagt zur Renteninitiative. Waldstatt hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3021,56.2,56.2,43.8,"Bühler AR","56,2 Prozent der Stimmbürgerinnen und Stimmbürger von Bühler haben die Renteninitiative angenommen. Bühler hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3022,22,22,78,"Gais AR","In Gais hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 78 Prozent verworfen. Gais hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3023,46.6,46.6,53.4,"Speicher AR","Nein zur Renteninitiative in Speicher: Mit 53,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Speicher hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3024,54.4,54.4,45.6,"Teufen AR","Die Gemeinde Teufen AR hat die Renteninitiative mit 54,4 Prozent angenommen. Teufen AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3025,22.9,22.9,77.1,"Trogen AR","In Trogen hat die Renteninitiative keine Mehrheit gefunden. Auf 77,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Trogen hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3031,48,48,52,"Grub AR","Grub AR hat die Renteninitiative mit 52 Prozent abgelehnt. Grub AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3032,70.3,70.3,29.7,"Heiden AR","70,3 Prozent der Stimmbürgerinnen und Stimmbürger von Heiden haben die Renteninitiative angenommen. Heiden hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3033,31.6,31.6,68.4,"Lutzenberg AR","In Lutzenberg hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 68,4 Prozent verworfen. Lutzenberg hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3034,44.6,44.6,55.4,"Rehetobel AR","In Rehetobel hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 55,4 Prozent verworfen. Rehetobel hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3035,60.7,60.7,39.3,"Reute AR","Die Gemeinde Reute AR hat die Renteninitiative mit 60,7 Prozent angenommen. Reute AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3036,64.4,64.4,35.6,"Wald AR","64,4 Prozent der Abstimmenden in der Gemeinde Wald AR haben Ja gesagt zur Renteninitiative. Wald AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3037,57.1,57.1,42.9,"Walzenhausen AR","Die Gemeinde Walzenhausen hat die Renteninitiative mit 57,1 Prozent angenommen. Walzenhausen hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3038,25.7,25.7,74.3,"Wolfhalden AR","Nein zur Renteninitiative in Wolfhalden: Mit 74,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Wolfhalden hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3101,42.7,42.7,57.3,"Appenzell AI","57,3 Prozent der Stimmbürgerinnen und Stimmbürger von Appenzell sagen Nein zur Renteninitiative. Appenzell hat damit gleich wie der Kanton Appenzell Innerrhoden Nein gesagt zu dieser Vorlage."
3102,64.1,64.1,35.9,"Gonten AI","64,1 Prozent der Abstimmenden in der Gemeinde Gonten haben Ja gesagt zur Renteninitiative. Gonten hat damit anders abgestimmt als der Kanton Appenzell Innerrhoden, der die Vorlage abgelehnt hat."
